"SEGMENT_NAME","MEDIUM_LEN", "LONG_LEN", "RHO", "THETA",  "PHI"
"S1o","1.4","1.8","3.3","57","-9"
"S1p","1.3","1.8","3.7","50","-17"
"S1m","1.0","1.1","4.3","35","-31"
"S2o","1.1","1.9","5.1","44","-12"
"S2p","1.1","1.7","5.3","40","-18"
"S2m","0.9","1.4","5.8","31","-29"
"S3o","1.1","1.4","6.9","37","-19"
"S3p","1.0","1.3","7.0","34","-23"
"S3m","0.9","1.2","7.3","30","-31"
"D1o","2.1","2.4","3.2","61","-8"
"D1p","1.9","2.3","4.2","61","-13"
"D1m","1.5","1.8","6.2","61","-23"
"D2o","1.9","2.6","4.9","47","-12"
"D2p","1.7","2.4","5.9","47","-16"
"D2m","1.4","1.9","7.7","49","-24"
"D3o","1.7","2.4","6.6","41","-18"
"D3p","1.6","2.3","7.4","41","-21"
"D3m","1.3","1.7","9.0","43","-26"
"MRo","1.8","2.7","1.2","85","-10"
"MRp","1.7","2.4","2.7","87","-20"
"MRm","1.3","2.0","5.6","80","-34"
"OMp","3.3","3.3","2.8","105","-30"
"OMm","2.9","3.0","3.5","107","-32"
"OMd","3.1","2.7","4.1","107","-36"
"OAo","2.2","2.5","4.4","107","-37"
"OAp","2.0","2.4","5.3","102","-43"
"OAm","1.7","2.0","7.1","84","-49"
"OPo","2.2","2.5","4.4","107","-37"
"OPp","2.1","2.3","4.9","114","-43"
"OPm","1.9","1.9","6.3","116","-53"
"M1o","2.1","2.6","2.2","102","-31"
"M1p","2.0","2.5","3.5","101","-28"
"M1m","1.5","2.0","5.6","91","-38"
"M2o","2.0","2.5","3.4","118","-41"
"M2p","1.9","2.3","4.4","118","-43"
"M2m","1.4","1.9","6.0","109","-51"
"M3o","1.7","2.8","4.7","130","-49"
"M3p","1.7","2.6","5.3","129","-52"
"M3m","1.4","2.3","6.5","118","-58"
"CPo","2.0","2.6","6.0","151","-64"
"CPp","1.8","2.1","6.5","151","-67"
"CPm","1.6","1.7","7.6","145","-71"
"CPo","2.0","2.6","6.0","151","-64"
"CIo","1.7","0.1","6.5","117","-67"
"CIp","1.7","0.1","7.0","117","-69"
"CIm","1.5","0.1","8.0","119","-73"
"CDo","2.1","3.2","6.7","-119","-74"
"CDp","2.0","3.1","7.4","72","-74"
"CDm","1.8","2.5","8.7","-35","-81"
"RDo","2.2","2.4","6.7","105","-73"
"RDp","2.1","2.3","7.0","103","-77"
"RDm","2.0","2.0","7.6","80","-76"
"RIo","1.5","2.1","6.3","176","-63"
"RIp","1.5","1.9","7.0","170","-65"
"RIm","1.4","1.5","7.6","143","-68"
"RPo","1.8","2.6","6.5","169","-49"
"RPp","1.7","2.4","7.3","166","-52"
"RPm","1.4","2.3","8.0","145","-56"

